titre;categorie;lieux_extraits;date;url
Sidi Bouzid et Kairouan : 217 criminels arrêtés dans un coup de filet antidrogue;1;Sidi Bouzid, Intérieur - Tunisie|Sidi Bouzid, Kairouan;08/05/2025;https://letemps.news/2025/05/08/sidi-bouzid-et-kairouan-217-criminels-arretes-dans-un-coup-de-filet-antidrogue/
Démantèlement de réseaux de drogue à Sousse et Bizerte : plusieurs arrestations et saisies;1;Bizerte, Ras Jbel, Sousse, Bizerte|drogues;15/04/2025;https://letemps.news/2025/04/15/demantelement-de-reseaux-de-drogue-a-sousse-et-bizerte-plusieurs-arrestations-et-saisies/
Saisie de 200 grammes de cocaïne au poste frontalier de Bouchebka;1;Bouchebka;03/04/2025;https://letemps.news/2025/04/03/saisie-de-200-grammes-de-cocaine-au-poste-frontalier-de-bouchebka/
Démantèlement d’un réseau international de trafic de drogue en Tunisie;1;Berges du Lac I, gouvernorat de Tunis, Tunisie, Europe;10/03/2025;https://letemps.news/2025/03/10/demantelement-dun-reseau-international-de-trafic-de-drogue-en-tunisie/
Arrestation de quatre individus impliqués dans des affaires criminelles à Sousse;1;Sousse Médina, Sousse;05/03/2025;https://letemps.news/2025/03/05/arrestation-de-quatre-individus-impliques-dans-des-affaires-criminelles-a-sousse/
Les douaniers saisissent plus de 6,660 kg de cocaïne au poste frontalier de Dhehiba;1;Tunisie, Dhehiba, Tunisien, Dhehiba Douane, Libye, frontière tuniso-libyenne;03/03/2025;https://letemps.news/2025/03/03/les-douaniers-saisissent-plus-de-6660-kg-de-cocaine-au-poste-frontalier-de-dhehiba/
Sousse : arrestation de deux individus en possession de drogue;1;Sousse, Sousse Nord;01/03/2025;https://letemps.news/2025/03/01/sousse-arrestation-de-deux-individus-en-possession-de-drogue/
Garde nationale : un réseau de trafic de drogue démantelé à Hay Hlal;1;;24/02/2025;https://letemps.news/2025/02/24/garde-nationale-un-reseau-de-trafic-de-drogue-demantele-a-hay-hlal/
Ministère de l’Intérieur : arrestation de 420 criminels dangereux et saisie de 14 665 comprimés de drogue;1;Tunis, Kairouan;22/02/2025;https://letemps.news/2025/02/22/ministere-de-linterieur-arrestation-de-420-criminels-dangereux-et-saisie-de-14-665-comprimes-de-drogue/
La douane déjoue une tentative de contrebande de 24 900 comprimés psychotropes;1;Tunisien;22/02/2025;https://letemps.news/2025/02/22/la-douane-dejoue-une-tentative-de-contrebande-de-24-900-comprimes-psychotropes/
Saisie de plus de 4500 comprimés d’ecstasy au poste frontalier de Melloula;1;Melloula, Jendouba;08/02/2025;https://letemps.news/2025/02/08/saisie-de-plus-de-4500-comprimes-decstasy-au-poste-frontalier-de-melloula/
Un jeune tunisien condamné à 24 ans de prison pour trafic de drogue;1;Tunis, Cap Bon, Tunisie, Europe;28/01/2025;https://letemps.news/2025/01/28/un-jeune-tunisien-condamne-a-24-ans-de-prison-pour-trafic-de-drogue/
Saisie de 440 plaques de cannabis à El Mourouj 2;1;Mourouj, El Mourouj;13/12/2024;https://letemps.news/2024/12/13/saisie-de-440-plaques-de-cannabis-a-el-mourouj-2/
Sousse : arrestation d’un trafiquant de drogue avec 2,6 kg de cocaïne;1;Sousse;08/12/2024;https://letemps.news/2024/12/08/sousse-arrestation-dun-trafiquant-de-drogue-avec-26-kg-de-cocaine/
Arrestation d’un trafiquant de drogue à Sousse avec de la cocaïne et plus de 9000 dinars;1;stupéfiants|Sousse A Sousse, Sousse;27/11/2024;https://letemps.news/2024/11/27/arrestation-trafiquant-drogue-sousse-avec-cocaine-9000-dinars/
Démantèlement d’un réseau criminel de migration irrégulière à Ben Arous;1;;27/11/2024;https://letemps.news/2024/11/27/demantelement-dun-reseau-criminel-de-migration-irreguliere-a-ben-arous/
Arrestation d’un réseau criminel à Ettadhamen et Jebel Lahmar;1;Ariana, Jebel, Ettadhamen;21/11/2024;https://letemps.news/2024/11/21/arrestation-dun-reseau-criminel-a-ettadhamen-et-jebel-lahmar/
Grand Tunis : 205 trafiquants de stupéfiants interpellés lors d’une vaste opération sécuritaire;1;Tunis, grand Tunis;24/10/2024;https://letemps.news/2024/10/24/grand-tunis-205-trafiquants-de-stupefiants-interpelles-lors-dune-vaste-operation-securitaire/
Mahdia : arrestation d’un important trafiquant de drogue;1;Mahdia, Monastir;26/09/2024;https://letemps.news/2024/09/26/mahdia-arrestation-important-trafiquant-drogue/
Saisie de 14 plaques de cannabis au port de la Goulette;1;port de la Goulette, Tunisie, Marseille, port de la Goulette Nord, Goulette|port;07/09/2024;https://letemps.news/2024/09/07/saisie-de-14-plaques-de-cannabis-au-port-de-la-goulette/
Saisie de 10,7 kg de cocaïne et 10 fusils de chasse à Ras Jedir;1;Ras, stupéfiants|Ras, Jedir, Douane tunisienne;19/08/2024;https://letemps.news/2024/08/19/saisie-de-107-kg-de-cocaine-et-10-fusils-de-chasse-a-ras-jedir/
